,Mean,SE,lower_q,upper_q
Cindex,0.837859881,0.003338251,0.831253156,0.844164579
IBS,0.083472109,0.00151582,0.081478469,0.088062071
NBLL,0.260262969,0.004466707,0.254893209,0.274474808
