,Mean,SE,lower_q,upper_q
Cindex,0.8423089153879302,0.0034601831252022283,0.8343508619955087,0.8486042028801485
IBS,0.06082087756402627,0.0011126550694743457,0.058548083970253524,0.0629198976016612
