,Mean,SE,lower_q,upper_q
Cindex,0.8198973139053348,0.0032786942335598607,0.8136445639698369,0.8271720066229231
IBS,0.06730377956698837,0.0014426526287387431,0.06478567429730764,0.07041234873985604
