"","Mean","SE","lower_q","upper_q"
"Cindex",0.827894923217204,0.0032830935931885,0.822126344013537,0.833225622669144
"IBS",0.0680971410320709,0.0012223371161519,0.0661503989232439,0.0706425739910716
