"","Mean","SE","lower_q","upper_q"
"Cindex",0.848695291811099,0.00292058730892186,0.843799196025979,0.85372549802454
"IBS",0.0581926202650456,0.00110471175638217,0.0563380629838243,0.0604875204786504
