"Metric","AFT","CoxPH","Stepwise CoxPH","CoxEN","RSF","GBM","RSF_vimp","GBM_vimp","Autoscore_Survival","DeepSurv","CoxTime","DeepHit"
"Mean",0.84874475404649,0.848695291811099,0.848796473209434,0.848711578241253,0.827894923217204,0.84230891538793,0.817820896595143,0.819897313905335,0.808,0.841252356,0.842081866,0.837859881
"lower_q",0.843866665694473,0.843799196025979,0.843251379417828,0.84317372735376,0.822126344013537,0.834350861995509,0.809879374290408,0.813644563969837,0.802,0.836379337,0.836155369,0.831253156
"upper_q",0.853726515434408,0.85372549802454,0.855979158348245,0.855933561073237,0.833225622669144,0.848604202880148,0.823028991151211,0.827172006622923,0.814,0.846863796,0.848936068,0.844164579
