,Mean,SE,lower_q,upper_q
Cindex,0.8487115782412531,0.003157103501251056,0.8431737273537598,0.8559335610732366
IBS,0.0586459854210032,0.0011642794988310186,0.05688642742408541,0.061163335260297665
