"Metric","AFT","CoxPH","Stepwise CoxPH","CoxEN","RSF","GBM","RSF_vimp","GBM_vimp","Autoscore_Survival","DeepSurv","CoxTime","DeepHit"
"Mean",0.0592028276188822,0.0581926202650456,0.0594798165025174,0.0586459854210032,0.0680971410320709,0.0608208775640263,0.0686469200879426,0.0673037795669884,0.0699,0.058630732,0.058001462,0.083472109
"lower_q",0.0572619377047394,0.0563380629838243,0.0568619931399706,0.0568864274240854,0.0661503989232439,0.0585480839702535,0.06667204363925,0.0647856742973076,0.0675,0.056685646,0.05589595,0.081478469
"upper_q",0.0616992808799662,0.0604875204786504,0.069653488583431,0.0611633352602977,0.0706425739910716,0.0629198976016612,0.071171441873797,0.070412348739856,0.0722,0.061601075,0.060537534,0.088062071
