,Mean,SE,lower_q,upper_q
Cindex,0.842081866,0.003167292,0.836155369,0.848936068
IBS,0.058001462,0.00130624,0.05589595,0.060537534
NBLL,0.18415755,0.003995864,0.177596357,0.192385567
