"","Mean","SE","lower_q","upper_q"
"Cindex",0.84874475404649,0.00291946741159386,0.843866665694473,0.853726515434408
"IBS",0.0592028276188822,0.00113133543251251,0.0572619377047394,0.0616992808799662
